run_time_utc,symbol,strategy,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_sma(C,20)","Exit_sma(C,20)","Entry_sma(C,50)","Exit_sma(C,50)"
2026-06-15T20:26:07.433763+00:00,SPY,ma,5,214,271,460.34,422.4088,422.4088,550.968,-198.48348799999994,8.827487999999999,-0.08623343094234692,2021-11-01 04:00:00+00:00,2022-01-24 05:00:00+00:00,84 days 01:00:00,,446.783,465.46075,445.14349999999996,464.94090000000006
2026-06-15T20:26:07.433763+00:00,SPY,ma,5,321,334,455.23,420.1732,420.1732,548.0519999999999,-184.03803200000004,8.754032,-0.0808549665004503,2022-04-05 04:00:00+00:00,2022-04-25 04:00:00+00:00,20 days 00:00:00,,443.33950000000004,445.57250000000005,440.7252,439.16420000000005
2026-06-15T20:26:07.433763+00:00,SPY,ma,5,403,435,410.3,382.27,375.4796,489.756,-148.07570000000015,7.925699999999999,-0.07217923470631248,2022-08-03 04:00:00+00:00,2022-09-19 04:00:00+00:00,47 days 00:00:00,,394.29375,400.3535,392.55400000000003,403.3925
2026-06-15T20:26:07.433763+00:00,SPY,ma,5,475,509,396.67,383.2,366.62,478.2,-75.14870000000013,7.7987,-0.03788978243880305,2022-11-14 05:00:00+00:00,2023-01-04 05:00:00+00:00,51 days 00:00:00,,380.5575,387.4295,378.2943,389.5278
2026-06-15T20:26:07.433763+00:00,SPY,ma,5,527,557,401.12,385.72,368.5796,480.756,-84.86839999999988,7.868399999999999,-0.042315715995213395,2023-01-31 05:00:00+00:00,2023-03-15 04:00:00+00:00,42 days 23:00:00,,394.69975,398.01149999999996,393.5989,399.40869999999995
2026-06-15T20:26:07.433763+00:00,SPY,ma,5,579,640,412.38,450.6,379.4954,494.99399999999997,182.47020000000015,8.6298,0.08849614433289699,2023-04-17 04:00:00+00:00,2023-07-14 04:00:00+00:00,88 days 00:00:00,,404.19475,440.063,402.3821,427.5538
2026-06-15T20:26:07.433763+00:00,SPY,ma,5,731,792,453.235,495.355,417.9192,545.112,201.1141,9.4859,0.08874605888777343,2023-11-21 05:00:00+00:00,2024-02-21 05:00:00+00:00,92 days 00:00:00,,434.72650000000004,494.14775,433.0168,481.51129999999995
2026-06-15T20:26:07.433763+00:00,SPY,ma,4,855,911,529.31,534.32,487.64599999999996,636.06,11.53096000000042,8.509039999999999,0.005446222440536049,2024-05-21 04:00:00+00:00,2024-08-12 04:00:00+00:00,83 days 00:00:00,,516.5899999999999,541.2097500000001,514.9651,543.4123000000001
2026-06-15T20:26:07.433763+00:00,SPY,ma,4,927,988,550.06,599.64,507.9872,662.592,189.12240000000017,9.1976,0.08595535032541915,2024-09-04 04:00:00+00:00,2024-11-29 05:00:00+00:00,86 days 01:00:00,,550.5554999999999,591.60275,549.0206,582.1634
2026-06-15T20:26:07.433763+00:00,SPY,ma,4,1034,1054,606.84,557.7408,557.7408,727.4879999999999,-205.71344639999998,9.3166464,-0.08474781095511168,2025-02-07 05:00:00+00:00,2025-03-10 04:00:00+00:00,30 days 23:00:00,,598.8005,594.27125,598.2831,595.662
2026-06-15T20:26:07.433763+00:00,SPY,ma,4,1101,1162,585.58,644.87,540.4540000000001,704.94,227.31639999999985,9.843600000000002,0.09704754260732933,2025-05-15 04:00:00+00:00,2025-08-13 04:00:00+00:00,90 days 00:00:00,,557.191,633.1992499999999,553.6282,619.0575
2026-06-15T20:26:07.433763+00:00,SPY,ma,3,1337,1372,710.755,751.8,651.7372,850.092,114.35966999999988,8.77533,0.0536329536900901,2026-04-24 04:00:00+00:00,2026-06-15 04:00:00+00:00,52 days 00:00:00,,680.9217500000001,745.8222499999999,676.9647,724.7325
