run_time_utc,symbol,strategy,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_macd_line(C,12,26)","Exit_macd_line(C,12,26)","Entry_macd_sign…(C,12,26,9)","Exit_macd_sign…(C,12,26,9)"
2026-06-15T19:32:36.638170+00:00,SPY,macd,25,28,39,388.2,384.66,,,-127.14299999999909,38.643,-0.013100772797527,2021-02-05 05:00:00+00:00,2021-02-23 05:00:00+00:00,18 days 00:00:00,,2.506911711072803,3.2366246608937104,2.0786230885939023,3.6630964399937587
2026-06-15T19:32:36.638170+00:00,SPY,macd,25,52,60,392.07,391.0,,,-65.90349999999984,39.1535,-0.006723646287652692,2021-03-12 05:00:00+00:00,2021-03-24 04:00:00+00:00,11 days 23:00:00,,1.6132099393801127,1.624878310877591,1.0471219016799789,2.026418042952925
2026-06-15T19:32:36.638170+00:00,SPY,macd,24,64,83,394.42,417.91,,,524.7681600000002,38.991839999999996,0.05543669185132592,2021-03-30 04:00:00+00:00,2021-04-27 04:00:00+00:00,28 days 00:00:00,,2.097707516582034,5.9004950032853,1.9453088524425792,5.983602177242911
2026-06-15T19:32:36.638170+00:00,SPY,macd,24,106,120,421.02,417.07,,,-135.02831999999972,40.228320000000004,-0.013363213149019074,2021-05-28 04:00:00+00:00,2021-06-18 04:00:00+00:00,21 days 00:00:00,,2.0776246994880694,1.6282526188537076,1.909901623495411,2.3338503082274964
2026-06-15T19:32:36.638170+00:00,SPY,macd,23,126,140,427.17,426.19,,,-61.79456000000042,39.254560000000005,-0.0062895802607861855,2021-06-28 04:00:00+00:00,2021-07-19 04:00:00+00:00,21 days 00:00:00,,2.1660714975722044,2.74294345067932,1.9510871405558596,3.5351533084156337
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,146,151,439.8,438.44,,,-68.5625600000003,38.64256,-0.007086130059117813,2021-07-27 04:00:00+00:00,2021-08-03 04:00:00+00:00,7 days 00:00:00,,3.5134407768008487,3.4138855628625038,3.2178429486096376,3.383398949885603
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,152,153,439.76,440.27,,,-27.50132000000019,38.72131999999999,-0.002842595961433463,2021-08-04 04:00:00+00:00,2021-08-05 04:00:00+00:00,1 days 00:00:00,,3.268627025031151,3.333753503652929,3.3604445649147126,3.3551063526623564
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,155,163,442.46,436.27,,,-174.84411999999995,38.66412,-0.017961985264204647,2021-08-09 04:00:00+00:00,2021-08-19 04:00:00+00:00,10 days 00:00:00,,3.405623663246047,2.617795998257918,3.3740895492994625,3.2778685713250386
2026-06-15T19:32:36.638170+00:00,SPY,macd,21,168,169,448.63,447.09,,,-69.96024000000043,37.620239999999995,-0.007425807458261868,2021-08-26 04:00:00+00:00,2021-08-27 04:00:00+00:00,1 days 00:00:00,,3.0392549539839138,3.2391481992265767,3.0475114356301094,3.0858387883494034
2026-06-15T19:32:36.638170+00:00,SPY,macd,21,170,177,450.99,450.78,,,-42.28434000000077,37.874340000000004,-0.004464710969201181,2021-08-30 04:00:00+00:00,2021-09-09 04:00:00+00:00,10 days 00:00:00,,3.5231768306932736,3.237498514881281,3.1733063968181776,3.5230557179738518
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,199,227,437.15,469.29,,,667.1966400000009,39.88336,0.06937463113347829,2021-10-11 04:00:00+00:00,2021-11-18 05:00:00+00:00,38 days 01:00:00,,-2.488290655052424,5.707540019809528,-2.5627274406740987,5.864317569712605
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,243,248,470.33,454.41,,,-390.9285599999991,40.68856,-0.03778087725639431,2021-12-13 05:00:00+00:00,2021-12-20 05:00:00+00:00,7 days 00:00:00,,1.9288995032333105,0.5145692616695783,1.6468965144760612,1.4657826721006304
2026-06-15T19:32:36.638170+00:00,SPY,macd,21,252,261,472.08,467.94,,,-126.42083999999971,39.48084,-0.012752160650737091,2021-12-27 05:00:00+00:00,2022-01-07 05:00:00+00:00,11 days 00:00:00,,2.161534038582772,2.0721262608985285,1.38399483107835,2.8551755792858127
2026-06-15T19:32:36.638170+00:00,SPY,macd,21,279,290,450.98,437.37,,,-323.1207000000003,37.3107,-0.03411836445075177,2022-02-03 05:00:00+00:00,2022-02-18 05:00:00+00:00,15 days 00:00:00,,-5.0543538521304185,-4.498646391694194,-5.7990505151610305,-3.9724324021762487
2026-06-15T19:32:36.638170+00:00,SPY,macd,21,298,301,440.4,419.66,,,-471.662519999999,36.12252,-0.05099936421435048,2022-03-03 05:00:00+00:00,2022-03-08 05:00:00+00:00,5 days 00:00:00,,-4.969720871955701,-6.731271383489741,-5.377721273000848,-5.661704040976446
2026-06-15T19:32:36.638170+00:00,SPY,macd,20,308,324,433.71,448.1,,,252.52760000000086,35.2724,0.029112494523990846,2022-03-17 04:00:00+00:00,2022-04-08 04:00:00+00:00,22 days 00:00:00,,-3.7894448506715435,3.4484889972426913,-5.62929153368742,3.844069453714973
2026-06-15T19:32:36.638170+00:00,SPY,macd,23,356,369,392.31,376.89,,,-390.04320000000035,35.3832,-0.04322703984094214,2022-05-25 04:00:00+00:00,2022-06-14 04:00:00+00:00,20 days 00:00:00,,-9.599531037283896,-6.793236657023101,-10.147836288468847,-4.1263370115224625
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,378,417,390.16,412.84,,,463.6279999999989,35.332,0.05401373795365997,2022-06-28 04:00:00+00:00,2022-08-23 04:00:00+00:00,56 days 00:00:00,,-7.413296543228853,6.3532127761376955,-8.194699128077184,7.748344942969095
2026-06-15T19:32:36.638170+00:00,SPY,macd,25,448,452,375.61,358.32,,,-468.9465000000005,36.6965,-0.0499397247144645,2022-10-06 04:00:00+00:00,2022-10-12 04:00:00+00:00,6 days 00:00:00,,-8.023688218615291,-9.20491979124995,-8.993522148929612,-8.905211596701644
2026-06-15T19:32:36.638170+00:00,SPY,macd,24,454,491,368.56,392.83,,,545.9332799999995,36.54672,0.0617191773388322,2022-10-14 04:00:00+00:00,2022-12-07 05:00:00+00:00,54 days 01:00:00,,-8.600979996430794,4.262097954985052,-8.786758925057136,5.403698803895468
2026-06-15T19:32:36.638170+00:00,SPY,macd,24,513,536,387.21,408.76,,,478.9934400000003,38.206559999999996,0.051543245267426034,2023-01-10 05:00:00+00:00,2023-02-13 05:00:00+00:00,34 days 00:00:00,,-1.4425775275919932,5.121296674131202,-2.264689730038594,5.122965366179928
2026-06-15T19:32:36.638170+00:00,SPY,macd,25,562,586,398.735,406.75,,,160.10074999999966,40.27425,0.016060867493448094,2023-03-22 04:00:00+00:00,2023-04-26 04:00:00+00:00,35 days 00:00:00,,-2.315720294951632,2.3289643741595114,-2.4601761877642847,3.2640642928572703
2026-06-15T19:32:36.638170+00:00,SPY,macd,24,603,607,420.2,414.74,,,-171.11711999999952,40.07712,-0.016967824845311716,2023-05-19 04:00:00+00:00,2023-05-25 04:00:00+00:00,6 days 00:00:00,,2.2636934125611106,1.7178344208394947,1.8103617558113343,1.9170672288731718
2026-06-15T19:32:36.638170+00:00,SPY,macd,23,609,627,422.03,432.64,,,204.71518000000032,39.31482,0.021090112077340552,2023-05-30 04:00:00+00:00,2023-06-26 04:00:00+00:00,27 days 00:00:00,,2.312746040091895,5.018771082161834,2.018547044993195,5.642937231336172
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,633,635,441.93,438.63,,,-111.34464000000025,38.744640000000004,-0.011452311452039926,2023-07-05 04:00:00+00:00,2023-07-07 04:00:00+00:00,2 days 00:00:00,,5.336733973701541,4.6950154003869216,5.213485125000416,5.085488800798877
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,640,650,450.6,455.775,,,73.969499999999,39.8805,0.0074617177097202805,2023-07-14 04:00:00+00:00,2023-07-28 04:00:00+00:00,14 days 00:00:00,,5.275997365384399,5.733249260085586,4.938990525266397,5.816038762983719
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,673,686,449.51,442.78,,,-187.3207600000004,39.260760000000005,-0.018941914529153996,2023-08-30 04:00:00+00:00,2023-09-19 04:00:00+00:00,20 days 00:00:00,,-0.4043325848085715,-0.0827512020828749,-1.1413669496119339,0.3022338509251272
2026-06-15T19:32:36.638170+00:00,SPY,macd,22,701,710,433.02,419.54,,,-334.0726399999992,37.512640000000005,-0.035067941434575714,2023-10-10 04:00:00+00:00,2023-10-23 04:00:00+00:00,13 days 00:00:00,,-3.760850149103021,-3.132279109755416,-4.429049497644966,-2.6013520298320683
