run_time_utc,symbol,strategy,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_sma(C,50)","Exit_sma(C,50)","Entry_sma(C,200)","Exit_sma(C,200)","Entry_rsi(C,14)","Exit_rsi(C,14)"
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,5,204,235,443.98,461.64,410.1728,535.0079999999999,79.24379999999984,9.0562,0.03569701337898089,2021-10-18 04:00:00+00:00,2021-12-01 05:00:00+00:00,44 days 01:00:00,,442.7592000000001,452.69809999999995,416.472825,428.90909999999997,59.588938241430945,37.467517384967735
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,5,240,249,468.67,458.73,430.82680000000005,561.948,-58.97399999999999,9.274000000000001,-0.025166535088655136,2021-12-08 05:00:00+00:00,2021-12-21 05:00:00+00:00,13 days 00:00:00,,454.8237,460.3679,430.71085,434.3771,58.33449633669014,50.373257559271636
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,5,250,262,462.65,462.72,426.0152,555.672,-8.903699999999752,9.253700000000002,-0.003849000324219025,2021-12-22 05:00:00+00:00,2022-01-10 05:00:00+00:00,19 days 00:00:00,,461.0489,466.5014,434.76805,439.58369999999996,53.99423209660825,46.596975357024135
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,5,264,266,471.625,461.13,432.17,563.6999999999999,-61.802550000000025,9.32755,-0.026208343493241484,2022-01-12 05:00:00+00:00,2022-01-14 05:00:00+00:00,2 days 00:00:00,,466.9342,466.98949999999996,440.33485,440.99845,52.963134534317746,45.64222420469452
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,6,530,542,411.55,399.51,383.39160000000004,500.076,-81.97272000000012,9.73272,-0.03319674401652294,2023-02-03 05:00:00+00:00,2023-02-22 05:00:00+00:00,19 days 00:00:00,,394.69049999999993,396.7604,394.09175000000005,393.18775,63.55094084949165,43.733623570387344
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,6,550,552,405.13,398.41,371.841,485.01,-49.96247999999982,9.642479999999999,-0.020554093747685877,2023-03-06 05:00:00+00:00,2023-03-08 05:00:00+00:00,2 days 00:00:00,,398.05830000000003,398.6643,393.12762499999997,393.206675,53.1486134838351,46.68399379464912
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,6,568,629,404.06,435.09,369.2236,481.59599999999995,176.11019999999985,10.0698,0.07264193436618314,2023-03-30 04:00:00+00:00,2023-06-28 04:00:00+00:00,90 days 00:00:00,,400.7274,420.6850999999999,392.439525,398.869525,57.29954337422339,60.95739076224595
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,5,630,663,435.94,442.47,401.4328,523.608,23.865900000000146,8.7841,0.01094916731660325,2023-06-29 04:00:00+00:00,2023-08-16 04:00:00+00:00,48 days 00:00:00,,421.16360000000003,443.7791,399.00512499999996,411.50325000000004,62.98304164672576,38.738369258105635
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,5,673,678,449.51,443.06,413.2548,539.028,-41.17569999999994,8.9257,-0.018320259838490806,2023-08-30 04:00:00+00:00,2023-09-07 04:00:00+00:00,8 days 00:00:00,,445.2269,446.6197,414.50515,415.80505,58.67965788655459,49.025578018211114
2026-06-15T20:27:02.320399+00:00,SPY,trend_rsi,5,681,682,446.91,446.1,412.65680000000003,538.248,-12.98010000000001,8.9301,-0.005808820567899567,2023-09-12 04:00:00+00:00,2023-09-13 04:00:00+00:00,1 days 00:00:00,,447.0683,447.1197,416.55240000000003,416.7735,50.392517954246564,51.084330718899444
